"Location","Vaccinated[a]","Percent[b]"
"Central African Republic","2,600,389","51.01%"
"Croatia","2,323,025","59.46%"
"Libya","2,316,327","32.07%"
"Mongolia","2,284,018","67.45%"
"Togo","2,255,579","24.81%"
"Bulgaria","2,155,863","31.58%"
"Mauritania","2,103,754","43.15%"
"Palestine","2,012,767","37.94%"
"Lithuania","1,958,299","69.52%"
"Botswana","1,951,054","79.96%"
"Kyrgyzstan","1,736,541","24.97%"
"Georgia","1,654,504","43.60%"
"Albania","1,349,255","47.72%"
"Latvia","1,346,184","71.57%"
"Slovenia","1,265,802","59.84%"
"Bahrain","1,241,174","80.94%"
"Armenia","1,150,915","39.95%"
"Mauritius","1,123,773","88.06%"
"Moldova","1,109,524","36.50%"
"Yemen","1,050,202","2.75%"
"Lesotho","1,014,073","44.36%"
"Bosnia and Herzegovina","943,394","29.44%"
"Kosovo","906,858","52.79%"
"Timor-Leste","886,838","64.77%"
"Estonia","870,202","64.46%"
"Jamaica","859,773","30.28%"
"North Macedonia","854,570","46.44%"
"Trinidad and Tobago","754,399","50.43%"
"Guinea-Bissau","747,057","35.48%"
"Fiji","712,025","77.44%"
"Bhutan","699,116","89.52%"
"Republic of the Congo","695,760","11.53%"
"Macau","679,703","96.50%"
"Gambia","674,314","25.58%"
"Cyprus","671,193","71.37%"
"Namibia","629,767","21.79%"
"Eswatini","526,050","43.16%"
"Haiti","521,396","4.53%"
"Guyana","497,550","60.56%"
"Luxembourg","481,957","73.77%"
"Malta","478,953","90.68%"
"Brunei","451,149","99.07%"
"Comoros","438,825","52.60%"
"Djibouti","421,573","37.07%"
"Maldives","399,308","76.19%"
"Papua New Guinea","382,020","3.74%"
"Cabo Verde","356,734","68.64%"
"Solomon Islands","343,821","44.02%"
"Gabon","311,244","12.80%"
"Iceland","309,770","81.44%"
"Northern Cyprus","301,673","78.80%"
"Montenegro","292,783","47.63%"
"Equatorial Guinea","270,109","14.98%"
"Suriname","267,820","42.98%"
"Belize","258,473","64.18%"
"New Caledonia","192,375","67.00%"
"Samoa","191,403","88.91%"
"French Polynesia","190,908","68.09%"
"Vanuatu","176,624","56.42%"
"Bahamas","174,810","43.97%"
"Barbados","163,853","58.04%"
"Sao Tome and Principe","140,256","61.97%"
"Curaçao","108,601","58.59%"
"Kiribati","100,900","77.33%"
"Aruba","90,546","84.00%"
"Seychelles","88,520","70.52%"
"Tonga","87,375","83.17%"
"Jersey","84,365","81.52%"
"Isle of Man","69,560","82.67%"
"Antigua and Barbuda","64,290","69.24%"
"Cayman Islands","62,113","86.74%"
"Saint Lucia","60,140","33.64%"
"Andorra","57,913","72.64%"
"Guernsey","54,223","85.06%"
"Bermuda","48,554","74.96%"
"Grenada","44,241","37.84%"
"Gibraltar","42,175","112.08%"
"Faroe Islands","41,715","77.19%"
"Greenland","41,227","73.60%"
"Saint Vincent and the Grenadines","37,532","36.77%"
"Burundi","36,909","0.28%"
"Saint Kitts and Nevis","33,794","72.32%"
"Dominica","32,995","49.36%"
"Turks and Caicos Islands","32,815","71.54%"
"Sint Maarten","29,788","70.65%"
"Monaco","28,875","74.14%"
"Liechtenstein","26,771","68.06%"
"San Marino","26,357","77.26%"
"British Virgin Islands","19,466","50.77%"
"Caribbean Netherlands","19,109","66.69%"
"Cook Islands","15,112","102.48%"
"Nauru","13,106","110.87%"
"Anguilla","10,858","76.45%"
"Tuvalu","9,763","97.51%"
"Wallis and Futuna","7,150","62.17%"
"Saint Helena, Ascension and Tristan da Cunha","4,361","81.23%"
"Falkland Islands","2,632","74.88%"
"Tokelau","2,203","95.29%"
"Montserrat","2,104","47.01%"
"Niue","1,638","88.83%"
"Pitcairn Islands","47","100.00%"
"North Korea","0","0.00%"
